EXPERIMENT_ID,DEVICE,MODEL,SEQUENCES,FEATURES,NORMALIZATION,OPTIMIZER,SCHEDULER,THRESHOLD_METHOD,TERMINATION_CRITERIA,PRECISION,VOXEL_SIZE,MIOU,RECALL,F1_SCORE,ACCURACY,TP,FP,TN,FN,BEST_EPOCH,NUM_EPOCHS,DURATION
240703021915,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,precision,0.3353033838660168,0.05,0.3160961291623588,0.8465817323420023,0.48035416586711044,0.8620384316994528,4937627,9788222,61814125,894801,5,8,1:04:24.918181
240703032341,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,precision,0.6113238771658785,0.1,0.5688427646551383,0.8911377902993401,0.7251749856272957,0.949125325152685,5197497,3304538,68297809,634931,5,9,1:12:54.549327
240703043636,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,precision,0.6491037755784439,0.15,0.6033211408588387,0.8953302123918203,0.7525892667212787,0.9556608771704961,5221949,2822911,68779436,610479,12,16,1:57:05.322364
240703063343,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,precision,0.5139404888910333,0.05,0.4825305333617565,0.8875814669293818,0.650955272088164,0.9283062164253721,5176755,4895919,66706428,655673,21,25,2:52:27.040522
240704205722,cuda:0,PointNetBinSeg,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.7961382432247022,0.1,0.6588569124686207,0.7925707761171089,0.7943505042736275,0.9681001757028113,2454495,628506,36114616,642383,24,33,2:13:55.501377
240706111435,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,precision,0.6966887639195489,0.1,0.6644222562306424,0.9348364659290815,0.7983818454042254,0.9639937853805894,5487290,2388953,68712668,382496,13,18,3:30:50.979996
240706144528,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,precision,0.7001171533963292,0.15,0.655350246835305,0.9111042549081005,0.791796477015305,0.9634602625881582,5347987,2290716,68810905,521799,21,28,5:16:00.101566
240706200134,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,precision,0.5446197218890083,0.05,0.5186221633094695,0.9157153259079632,0.6830167184960058,0.9351830868831591,5375053,4494316,66607305,494733,8,17,2:43:01.380654
240706224436,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,precision,0.7711622360237361,0.1,0.7362910550717058,0.9421389468031713,0.8481193898004598,0.9742674315411696,5530154,1641040,69460581,339632,26,35,5:17:02.144561
240707040139,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,precision,0.7449799341956743,0.15,0.7056831879489949,0.930450275359272,0.8274493093849935,0.9704068421147609,5461544,1869585,69232036,408242,22,27,4:09:13.207465
240707081054,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,miou,0.5906396547565395,0.05,0.4496791848016328,0.6532839527710209,0.6203844126563283,0.9390311521783667,3834637,2657709,68443912,2035149,10,19,3:01:19.137609
240707111214,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,miou,0.9138774413496218,0.1,0.755604646412126,0.813534087954825,0.8607913495288719,0.9799337174647204,4775271,450015,70651606,1094515,18,27,4:11:10.172339
240707152325,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,miou,0.9044548264723644,0.15,0.7438792160913351,0.807320232798947,0.8531315807050421,0.9788026740890939,4738797,500599,70601022,1130989,22,26,4:08:16.212511
240707193142,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,miou,0.7078969197496037,0.05,0.5540253358854517,0.7182171547650971,0.7130196954862121,0.9559111086536329,4215781,1739579,69362042,1654005,16,25,3:52:54.991471
240707232438,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,miou,0.9196672215254735,0.1,0.8088768483076759,0.870373298106609,0.8943415347091581,0.9843169944912141,5108905,446262,70655359,760881,20,23,3:35:49.359468
240708030028,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,miou,0.9432564563294394,0.15,0.8040877417195985,0.8449597651430564,0.8914064689039658,0.9843004558822732,4959733,298363,70803258,910053,20,23,3:35:56.032619
240708063626,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,miou,0.6783710806040653,0.05,0.5056402276529625,0.6650831904263631,0.6716614213226354,0.9504127162440983,3903896,1850913,69250708,1965890,16,25,4:10:35.304960
240708111944,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,miou,0.910378348196868,0.1,0.7502977332259483,0.810136533189951,0.8573372620932158,0.979692315242086,4725063,465156,71137191,1107365,17,23,2:33:14.557439
240708135300,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,miou,0.8945739282041391,0.15,0.745617545612854,0.8174478964849631,0.854273660902144,0.9789939468410672,4767706,561877,71040470,1064722,22,25,2:43:35.387102
240708164504,cuda:0,PointNet2BinSeg,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.1836492885231478,0.1,0.14139616852861006,0.38063828342774025,0.24776001957477373,0.8273779367469879,1132558,5034403,31830179,1842860,4,13,1:50:07.545967
240708164343,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,miou,0.8268985065218651,0.05,0.6870762958802696,0.8025011196023337,0.814517159132714,0.9724708698385189,4680530,979814,70622533,1151898,25,25,2:38:55.811162
240708183512,cuda:0,PointNet2BinSeg,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,loss,0.7594822684569672,0.1,0.5928912969654087,0.7299465150778814,0.7444215409989572,0.962566967871486,2171896,687810,36176772,803522,13,22,2:56:35.728825
240708192240,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,miou,0.9417215309744215,0.1,0.8313008609390753,0.876386643778543,0.9078801617695863,0.9866043518561266,5111462,316323,71286024,720966,29,31,3:28:01.076406
240708213149,cuda:0,PointNet2BinSeg,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,loss,0.6780238225677707,0.1,0.5123932725940145,0.6771619987510998,0.6775926366231078,0.9518731425702811,2014840,956796,35907786,960578,13,22,2:57:07.014124
240708225042,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,miou,0.904021597651904,0.15,0.7901636012281127,0.8625207203586568,0.8827836748395886,0.982747712510303,5030590,534089,71068258,801838,23,25,2:46:11.497549
240709013654,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,miou,0.808867766144107,0.05,0.6612921775396938,0.7837636401169461,0.7961178490818401,0.9697635849009699,4571245,1080167,70522180,1261183,15,24,2:28:13.487654
240709040508,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,miou,0.9381530697941275,0.1,0.8232574482733795,0.8705017875917199,0.9030622077567843,0.9859237015927276,5077139,334706,71267641,755289,19,23,2:34:45.140589
240709063955,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,miou,0.9259453702974707,0.15,0.8231734350204085,0.8811865315782724,0.903011660008302,0.985742697644566,5139457,411040,71191307,692971,23,25,2:43:04.035289
240709171341,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,roc,miou,0.3703460914685635,0.05,0.34142584709935797,0.8138572820787501,0.5090491551771462,0.8817585122446601,4746764,8070339,63532008,1085664,16,25,2:37:05.002152
